dt,ts,open,high,low,close,volume
2025-09-30 16:35:00+00:00,1759250100000,6.6092,6.6092,6.5528,6.5593,398.35
2025-09-30 16:36:00+00:00,1759250160000,6.5572,6.5724,6.5559,6.5564,205.03
2025-09-30 16:37:00+00:00,1759250220000,6.556,6.6516,6.556,6.5864,4770.8
2025-09-30 16:38:00+00:00,1759250280000,6.5863,7.0734,6.5863,6.8658,21551.07
2025-09-30 16:39:00+00:00,1759250340000,6.8702,6.9966,6.8399,6.9435,4106.68
2025-09-30 16:40:00+00:00,1759250400000,6.9281,7.2437,6.9203,7.2437,3378.29
2025-09-30 16:41:00+00:00,1759250460000,7.2297,7.4225,6.9716,7.3459,12747.72
2025-09-30 16:42:00+00:00,1759250520000,7.3433,7.9999,7.2479,7.5374,15665.104
2025-09-30 16:43:00+00:00,1759250580000,7.5269,8.4738,7.4401,8.3403,7402.06
2025-09-30 16:44:00+00:00,1759250640000,8.3401,9.2178,7.8904,8.6952,12127.6071
2025-09-30 16:45:00+00:00,1759250700000,8.717,9.53,8.0143,8.2271,8093.4355
2025-09-30 16:46:00+00:00,1759250760000,8.2707,8.3189,7.8837,8.0177,4011.2
2025-09-30 16:47:00+00:00,1759250820000,8.0244,8.3419,7.9897,8.0454,1470.54
2025-09-30 16:48:00+00:00,1759250880000,8.0467,8.5238,8.0467,8.2938,3080.51
2025-09-30 16:49:00+00:00,1759250940000,8.305,8.3172,8.1185,8.2733,1671.23
2025-09-30 16:50:00+00:00,1759251000000,8.307,8.3937,7.8358,7.9039,4280.04
2025-09-30 16:51:00+00:00,1759251060000,7.9505,8.1329,7.9263,8.1329,2218.61
2025-09-30 16:52:00+00:00,1759251120000,8.1312,8.1523,7.9127,7.9596,1776.29
2025-09-30 16:53:00+00:00,1759251180000,7.9264,7.9488,7.8138,7.9488,1366.34
2025-09-30 16:54:00+00:00,1759251240000,7.9257,7.9439,7.851,7.878,1037.94
2025-09-30 16:55:00+00:00,1759251300000,7.872,8.0886,7.8619,7.9102,1207.75
