,binance,gate,pct_diff
2025-09-30 16:40:00+00:00,7.246,7.2437,0.03175172908873721
2025-09-30 16:41:00+00:00,7.358,7.3459,0.16471773370178375
2025-09-30 16:42:00+00:00,7.553,7.5374,0.20696791997240507
2025-09-30 16:43:00+00:00,8.312,8.3403,-0.3393163315468241
2025-09-30 16:44:00+00:00,8.683,8.6952,-0.1403072959793908
2025-09-30 16:45:00+00:00,8.245,8.2271,0.2175736286176069
2025-09-30 16:46:00+00:00,7.992,8.0177,-0.3205408034723127
2025-09-30 16:47:00+00:00,8.043,8.0454,-0.029830710716701615
2025-09-30 16:48:00+00:00,8.279,8.2938,-0.17844655043525598
2025-09-30 16:49:00+00:00,8.284,8.2733,0.1293317056071934
2025-09-30 16:50:00+00:00,7.953,7.9039,0.621212312908819
