timestamp,close,pct15,pct30,pct60,long_signal,short_quick,action,pos_side,pos_entry,pos_size,equity,ts_str,action_desc,open_price,trade_entry,trade_exit,gross_pnl,entry_fee,exit_fee,net_pnl,trade_pnl,trade_entry_time,trade_exit_time,trade_duration_min,equity_reconciled
2025-10-01 07:00:00+00:00,14.546,5.276109140913362,6.869443832194539,5.989507432235494,False,True,open_short,short,14.538727,137.56362575623024,10000.0,2025-10-01 07:00:00+00:00,Open SHORT (quick rise),14.538727,,,,,,,,NaT,NaT,,9998.999499749874
2025-10-01 07:15:00+00:00,15.323,5.341674687199237,10.899616414561772,12.57806186172948,False,True,,short,14.538727,137.56362575623024,10000.0,2025-10-01 07:15:00+00:00,,,,,,,,,,,,,9892.112562537284
2025-10-02 16:15:00+00:00,11.013,-8.810134967293202,-10.521611959701008,-13.59642240702966,True,False,open_long,long,11.0185065,181.51280302825072,10481.793273448218,2025-10-02 16:15:00+00:00,Open LONG (signal: deep drop),11.0185065,,,,,,,,NaT,NaT,,10480.793773198344
2025-10-02 17:15:00+00:00,10.55,8.049979516591575,1.5692692789063278,-4.204122400799049,False,True,open_short,short,10.544725,198.07924981975177,10443.45608777791,2025-10-02 17:15:00+00:00,Open SHORT (quick rise),10.544725,,,,,,,,NaT,NaT,,10442.41121973511
2025-10-03 00:00:00+00:00,10.311,6.882968798590232,7.686684073107057,9.855103345408065,False,True,,short,10.544725,198.07924981975177,10443.45608777791,2025-10-03 00:00:00+00:00,,,,,,,,,,,,,10489.75216044203
2025-10-03 03:00:00+00:00,9.331,-6.390449438202252,-11.66335321404905,-15.21897147010722,True,False,open_long,long,9.3356655,223.7324395947544,10680.1891615399,2025-10-03 03:00:00+00:00,Open LONG (signal: deep drop),9.3356655,,,,,,,,NaT,NaT,,10679.14533784297
2025-10-04 00:15:00+00:00,7.291,-12.209512341962665,-11.83796856106408,-12.661715380929566,True,False,open_long,long,7.2946455,291.95011938874364,10648.363123117808,2025-10-04 00:15:00+00:00,Open LONG (signal: deep drop),7.2946455,,,,,,,,NaT,NaT,,10647.298818957575
2025-10-04 00:30:00+00:00,7.877,8.037306268001638,-5.153521974714027,-4.567482432759872,False,True,close_long_tp,,,,10814.131993665516,2025-10-04 00:30:00+00:00,Close LONG (TP hit),7.2946455,7.2946455,7.8730615,168.86862025635975,1.4907708372364932,1.6089788714159448,165.7688705477073,165.67907708075322,2025-10-04 00:15:00+00:00,2025-10-04 00:30:00+00:00,15.0,10814.131993665516
2025-10-04 01:00:00+00:00,8.104,5.21942352635678,2.8818077948457463,-2.4202287778446783,False,True,open_short,short,8.099948,267.0173189671221,10814.131993665516,2025-10-04 01:00:00+00:00,Open SHORT (quick rise),8.099948,,,,,,,,NaT,NaT,,10813.05003948906
2025-10-04 04:45:00+00:00,5.389,-7.278045423262217,-13.89998402300687,-14.6905176507836,True,False,open_long,long,5.3916945,401.1403833679937,11534.76083077267,2025-10-04 04:45:00+00:00,Open LONG (signal: deep drop),5.3916945,,,,,,,,NaT,NaT,,11533.679958009683
2025-10-04 05:00:00+00:00,5.752,6.735943588791975,-1.0323468685478403,-4.641909814323611,False,True,close_long_tp,,,,11675.011914886814,2025-10-04 05:00:00+00:00,Close LONG (TP hit),5.3916945,5.3916945,5.749124,143.37940665703042,1.513978479113172,1.6143440637730933,140.25108411414416,140.13616758478867,2025-10-04 04:45:00+00:00,2025-10-04 05:00:00+00:00,15.0,11675.011914886814
2025-10-04 05:30:00+00:00,6.53,10.978925900747788,13.525730180806686,12.353750860289056,False,True,open_short,short,6.526735,357.7596429114041,11675.011914886814,2025-10-04 05:30:00+00:00,Open SHORT (quick rise),6.526735,,,,,,,,NaT,NaT,,11673.84382965271
